,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
000002,-66.78069,64.261795,-9.776764,11.287591,-2.4191437,9.037897,-1.1133189,4.5498395,-5.305121,0.24452747,-9.495332,2.5823383,-2.2036316,7.3982515,-2.5230403,0.4856278,-7.729595,-2.7771318,-2.2285872,-0.60578
000005,-106.024376,86.379105,13.008847,23.293478,-0.13009061,11.995469,-4.7083116,16.5522,-5.427786,-0.8825032,-1.0317153,8.08243,4.215745,6.530336,0.9724152,0.19170024,-3.4102998,-1.2815685,-0.91797924,0.6856624
000010,-16.811268,93.61206,-47.824642,31.577908,-3.7626708,1.410515,-1.5081638,1.8848596,-4.5226245,-0.24713916,-8.496406,1.5021161,-5.694397,1.9545956,-4.378735,-1.5836322,-2.5199113,2.381658,-0.38851416,3.2400765
000140,-278.15317,100.80628,37.054447,34.905193,26.752947,11.046149,10.796271,4.900579,1.3271269,6.3920817,-4.154795,-2.2210832,-6.2303433,2.295227,-7.6948237,0.6682843,-4.666604,-1.304039,-5.8084574,-1.689098
000141,-208.30751,116.0464,-1.243543,25.51324,10.181234,-4.6592207,7.7454886,-5.591129,0.43591166,1.7552578,-2.8628073,-3.8659,-4.3673162,2.6990633,-1.6625303,4.6665306,0.2691273,2.6918666,-8.287061,-1.4948637
000148,8.258978,126.05092,-27.990765,30.939363,12.647899,12.14672,-1.5545101,13.965467,-0.39874822,8.167109,0.15682395,6.4572787,0.46039012,10.214653,6.677004,5.6699657,-0.5676922,7.7726645,8.852753,4.258811
000182,-26.026888,136.47931,-60.457947,43.260773,-37.12685,32.28419,-4.2562413,13.664617,12.084982,7.2067018,12.29984,12.262443,3.3528275,11.374689,-2.701548,1.6524901,0.051537674,-2.0306778,-0.62850076,-1.7259074
000190,-139.52127,96.60173,-22.872536,25.558336,-7.4648438,-3.7838724,-21.777048,-7.035938,-19.873026,-6.0612373,-16.01057,-5.297312,-8.174129,-6.643648,-7.648324,-9.228781,-8.705999,-2.4688172,-5.841622,-8.476314
000193,-198.01874,120.317375,-29.394861,35.394382,-10.064501,4.930168,-13.594505,-5.610517,-16.011976,-8.161907,-11.371818,-5.357318,-7.500236,-7.435898,-13.542115,-8.798376,-10.156552,-9.017192,-9.160036,-10.055929
000194,-184.57397,118.748886,-26.507708,29.067913,-8.133896,3.6001925,-12.2336645,-1.8389412,-16.64473,-5.9524946,-12.991282,-2.8298924,-8.4452095,-9.686761,-8.832266,-5.8647633,-9.67253,-7.012378,-7.962305,-7.1413593
000197,-296.29062,126.969475,-11.064433,17.68693,-0.58984536,-4.7996473,-7.6959186,-6.302616,-10.073536,-7.5063615,-7.795642,-7.6173387,-5.7111716,-7.77107,-12.370874,-6.6063356,-7.4040427,-7.6018667,-5.109482,-3.7037203
000200,-122.239105,102.798645,-30.519062,40.598385,-10.09622,1.3887023,-12.195565,-3.1050856,-10.733684,-6.6995955,-16.562449,-8.268118,-7.1777644,-11.390204,-8.266891,-4.7420473,-6.9708076,-8.235043,-12.831157,-9.3387575
000203,-267.04865,123.49707,2.1895216,12.940072,-19.17814,-17.803225,-21.062416,-14.292017,-23.150373,-13.284433,-18.255936,-13.553189,-2.6895456,2.88311,2.659108,2.7650309,-1.6906589,-2.1168797,-0.32504,1.9021126
000204,-163.85045,121.32117,-15.035816,17.012907,7.450287,0.2113299,-14.127112,-9.380689,-15.681948,-5.379328,-15.067232,-2.6740525,-12.930341,-7.6121974,-2.2033644,-9.387194,0.02626606,1.7912581,0.20388749,-0.48879668
000207,-371.1178,101.04062,1.8138726,10.012372,-7.3179154,-8.986127,-9.462765,-5.6864033,-7.51603,-3.4086487,-2.3502352,-4.0501175,-4.0954385,-5.412487,-7.041995,-4.963989,-5.4061666,-5.9387975,-8.307677,-4.8055573
000210,-104.01535,109.03584,-30.927876,18.315172,-5.6126046,-0.9462852,-13.329198,-0.59549296,-17.128248,-6.0150714,-15.054911,-1.7612888,-10.481281,-12.843289,-10.174508,-8.310148,-4.6873665,-1.64293,-10.304591,-3.2962146
000211,-129.22343,126.04661,-34.685173,22.836716,-13.058367,-5.246882,-15.887997,-10.438819,-21.008017,-11.184243,-14.309571,-7.139994,-8.3961935,-10.066376,-5.1738963,-6.7790675,-6.8226833,-2.8598454,-4.0180182,-3.2803104
000212,-110.08956,102.70383,11.440733,15.548412,12.660969,2.7369697,-0.5215778,1.5250211,-9.223903,-0.80644196,-4.0449924,2.2374413,-1.9679805,-0.5533871,1.0419599,2.1601715,-1.3116046,3.4601629,1.309482,2.5391243
000213,-263.86493,160.12862,0.7556217,14.809481,12.257748,-9.2004,-10.5426,0.7170183,-7.9933825,-9.541598,-11.443537,-5.594189,-4.268339,-11.351195,-18.306717,-2.7871609,-4.6834364,1.1797622,4.6141944,-3.766161
000255,-136.94379,163.62389,-20.820158,17.844912,-10.696928,12.296598,-9.265617,-0.5809152,-7.889366,-1.8518941,-2.674523,-2.891483,-4.5698805,-0.8949961,-4.6731653,-1.4173241,-7.4989305,-2.9604995,-8.6432,-3.181238
000256,30.16675,99.97401,-33.62477,34.160206,3.0558817,4.24995,-1.8410555,8.919968,2.1589735,3.1804798,-0.38453388,4.8259068,1.9590173,2.7431595,-1.703405,-0.11632875,-7.1674027,-1.6818973,-3.8721452,-1.6084871
000368,-255.66339,116.204735,46.256474,17.72557,21.09665,20.032396,-1.4249172,13.121796,0.33295015,2.494069,2.8518484,8.910481,-1.6284055,3.8557224,-3.1206563,-0.25241554,-5.3375096,-0.33781436,-6.3577046,-1.3938981
000424,-102.96212,124.527824,-57.432648,46.524105,-21.059536,-1.9720209,-20.888878,-5.9944067,-21.261936,-4.665813,-3.9999402,-0.5626635,-14.013785,1.3957133,-5.650707,-7.7997093,-9.101724,-5.5008683,-9.778824,-1.4248502
000459,5.8859744,109.15815,-3.2698824,26.032719,12.15717,13.33266,0.87997043,12.623118,1.2585671,7.227729,-3.1548188,3.8812513,-0.33581844,3.1665044,-0.7935877,1.3534868,-2.3161914,1.471144,-2.3985295,2.6005702
000534,-259.69437,150.06383,34.308247,54.394184,-13.192789,3.890394,11.928771,-16.34431,-5.835249,-0.30513626,-5.3377056,-4.888522,-7.880688,4.9049845,-1.6871161,0.57287675,-1.691605,-3.3099856,-3.0771332,-0.005478508
000540,-205.55891,137.50528,-3.9164014,55.906456,-7.892374,-1.6849389,13.009443,-10.7196245,-16.960335,-1.0430505,1.786949,-2.3091848,-10.6529045,-1.1890893,-10.628741,-2.2600946,-5.787701,-1.5994925,0.07445211,0.1320747
000546,-224.2867,149.19086,-0.55005205,52.67789,-15.647808,-3.6490645,18.513262,-5.9499297,-14.183485,-1.2737783,-4.2605214,5.3049183,-13.160999,-2.4300954,-4.571124,-6.0532026,0.56072867,-3.1992173,1.766687,-1.5098779
000574,34.437458,84.72505,-16.151133,20.110907,5.9047356,-2.117347,-12.100681,2.8956504,-6.882562,3.7336586,-2.0785708,0.69684404,-7.7291746,1.8050294,-5.4701514,-4.4527073,-7.8368106,-1.145779,-5.5012646,0.61970466
000602,-400.3229,171.73196,25.713816,21.74574,20.039042,4.4164257,-0.8448548,-8.31885,-16.787018,-15.091733,-14.57644,-16.165346,-10.849008,-5.5858335,-10.095141,-4.4897213,-5.36149,-3.6021366,-2.4751875,3.3670695
000615,-447.0139,197.71495,84.18443,42.291603,15.883879,5.621567,-2.215268,-0.10699439,0.83978313,-0.18646608,-3.5032969,-4.9977674,-9.955331,-11.326359,-10.838819,-6.2575383,-3.1431124,0.39136967,-1.5843009,-3.2040913
000620,-161.60648,103.403275,-2.7421832,23.887974,5.1299047,-0.19540285,-6.830772,-0.8736734,-11.264754,-8.521349,-12.063764,-4.5389338,-7.353224,-5.6847177,-7.202277,-6.996549,-11.299347,-8.690656,-9.29811,-6.5518675
000621,-117.21345,110.193985,-23.29093,21.871033,-9.071066,5.29826,-16.939472,-2.818162,-18.929995,-5.688858,-13.414289,-11.593608,-12.043353,-8.873918,-6.361251,-4.144198,-12.341104,-10.025425,-9.351876,-6.8042064
000625,-123.40559,112.565796,-24.573568,18.346313,0.17398238,0.48473498,-9.413679,-10.406771,-12.293292,-2.0627685,-8.621559,-5.8446927,-8.872203,-9.869578,-10.954643,-10.993133,-8.003472,-6.813984,-6.6732774,-4.7223964
000666,-96.80157,144.81468,-41.92605,58.83179,-37.39958,20.732666,-17.515759,8.565787,-11.58775,-6.8924074,-11.293515,-9.748997,-7.118745,-8.64623,-9.209762,-9.848829,-11.603538,-7.845404,-6.1303954,-2.5799334
000667,-84.87644,125.98758,-36.076935,59.835316,-48.237934,23.747898,-18.87684,7.329677,-13.779607,-2.0930529,-6.3395147,-0.96114165,-7.2728777,-8.76536,-13.82332,-7.223526,-9.074418,-3.7075849,-3.2594717,-0.19846585
000676,-102.5207,102.12766,28.492254,24.230612,8.75178,13.16927,2.2658303,24.054955,-9.87429,0.31823343,-6.80864,-3.3505106,2.490152,1.6236826,-2.138376,5.1583614,-3.828269,0.7492905,2.5149271,-2.1477287
